Stars,Reviews
5.0 out of 5 stars,"and now we are on year two—the bag is still fully functional. for the past two years this bag has been indoors a total of four nights, nights where the threat of heavy freezing rain would hinder the morning commute. the rest of the time it is in the new england elements. i’ll add a photo. it is faded to a very light gray, but zipper still fine and it carries my stuff just fine.after one year, i’m writing a new review. i have an interesting bicycle life: i commute by bicycle. i ride twelve miles to work five days a week, regardless of temperature or conditions. so give or take a few dozen miles, i bike about 3,000 miles per year.i also abuse my bike. i leave it outside in snow, sleet, rain, hail, and the summer sun. it is a 1995 trek iron horse. it is a beast. so any equipment i purchase is in for a test.i’m uploading a photo of this bag one year later. it is a little faded, but it is as functional as the day i strapped it on. i truly thought i would get a few months out of it at maximum. judging from its condition after 3,000 miles, i think i’ll get many more years out of it.it is spacious enough to hold my iphone, a boo kit, a repair kit, my keys, and a sandwich. it is a remarkable piece of equipment. i have bought two more, one for my other bike and one as a gift."
5.0 out of 5 stars,"this is one of those products that actually looks better when you get it! i was a little hesitant in purchasing this as i thought it would not allow room for my water bottle and hand air pump-- no problem, take a look at attached images. the bonus is it holds my leatherman wave knife w/ belt case, note 8 w/ extra large case, tire patch kit, wallet and pro bike tool mini ratchet tool set with a tiny bit of room left over. it also stays secure and out of the way while pedaling.it is an amazing bike storage bag and extremely user friendly taking a full 2 minutes to install! as you can see by the picture i purchased another one. we ride in the northwest mountains of maine and enjoy carrying all the essentials without a back pack or saddle bags.highly recommend this product!recommendation: recommend applying lip balm (bees wax) to the zipper to keep zipper opening easily and to prevent undue stress on the stitching.happy trails! :)"
5.0 out of 5 stars,"i love this frame bike bag! well made, big enough but not bulky, straps on securely! i use it to carry a tire repair kit with pump, my key fob and wallet. doesn't get in the way while riding! looks great!!! very functional and keeps it's shape! if you're looking for a nice carry bag for your bike, this is it!!!"
5.0 out of 5 stars,"this is a very nice bag for the money. very functional. i use mine to store my tools, mini pump, spare tube etc. be aware that if your top tube slants down, it will be a tight fit with your water bottle (see picture). my bike is a trek fx2 hybrid with an angled top tube so this bag pushes up against the water bottle and looks a little weird. but it fits and works fine."
5.0 out of 5 stars,"i put topeak bike rack on my other bikes and also have a topeak saddle bag. i didn't want to put a rack on this mountain bike as i want to keep it light. i didn't want to use a saddle bag because i need to adjust the seat height during my rides and the saddle bag would be a problem. i also have a backpack and a waist pack but the backpack isn't that comfortable and the waist pack is simply too small for storage. when i saw the aduro storage bag, i thought it was perfect. it is actually a pretty large storage bag and can hold a lot of stuff. i need to carry a spare tube, co2 tire inflator or topeak peakini mini pump, phone, keys, nutrition bar, etc.. with this bag, i can comfortably carry all my essential items (not including my bike lock)..... con? none so far. it makes contact with my thermos water bottle but not an issue."
5.0 out of 5 stars,"works extremely well. it would be perfect except it doesn't hang absolutely centered under the cross bar due to positioning of velcro straps. however, that's not a performance issue. it's large and easily holds an iphone6+, xtra tubes and repair stuff. i'm 6'2"" and have a large bike frame, and the size still interferes with a water bottle on the seat tube, so i just bought a larger bottle for the down tube bottle cage."
1.0 out of 5 stars,the straps are so long the fuzzy part ends up overlapping itself and the velcro cannot secure itself down. the stitch job connecting the velcro is pathetic. made with zero quality assurance. it was also punctured 6 different times to secure the cardboard packaging with the branding on it. who does that? just outright damages the product just to hold cardboard in place. it was already bagged. redundant. these products are shamelessly mass produced with not a care in the world if all of it ends up in a landfill. how hard is it to actually look at the product and test it along the way!?
1.0 out of 5 stars,"this seemed like a winner. i found a nice way to hang it off the top bar, velcro held well, bag zipped well. i loaded it with a small battery op pump, a wrench and a multitool. maybe 3 pounds of stuff, and i left it for the night. planning a 40 mile run in the morning, so i wanted some emergency supplies.when i wheeled it out the next morning, one of the three straps had ripped loose completely from the stitching. was just hanging there. keep in mind this was before i'd driven the bike at all, before i'd taken it over any bumps or anything.useless."
5.0 out of 5 stars,this bag is just what i was looking for. it is roomy enough for emergency tools and a patch kit as well as a compact tire pump plus my cell phone! i like the blue color as it matches my new bike too. being a larger bag it fits snugly between the upright and cross member and brushes against the water bottle holder. i was worried it might interfere with peddling however it does not. the only improvement i could suggest is making the velcro straps about a quarter inch or third of an inch longer to accommodate thicker cross members.
5.0 out of 5 stars,"i like this aduro sport bicycle bike storage bag.my carbon road bike has a slightly awkward shape triangle, and nothing exactly fits inside, along with my water bottles.while this pack didn't quite fit either, i find a quite useful alternate mounting position that i very much like.i have it inverted on my top tube, just under the forward side of my saddle. unconventional location, but it fits perfectly, makes for an aero flow in front to my post, doesn't impede my pedaling, looks good too.the bag is well made, holds a tube, co2 inflator and 2 cartridges, allen wrenches, protein bar, and has some room left.the zipper is very smooth; but in my unusual configuration, it hangs down so i use a small bit of teflon coated copper wire to hold it up. probably no one else using this pack would need this workaround.i haven't ridden in the rain, so can't speak to that.i've had it in use for about a month and am very pleased."
1.0 out of 5 stars,"updated review:so i've had this item for just over a year now and it's falling apart! i've had to re-sew all the velcro straps but the underlying fabric is just coming apart.so..i added denim patches on the inside where the straps attach and sewed them to reinforce those areas... held for a little bit but the fabric is such crap (strands instead of mesh) that it's just falling apart around the patch!now.. the heaviest thing i'm carrying is small frame lock... along with my phone, a few allen wrenches, patch kit, etc.i doubt the entire bag & contents weighs even 5 lbs.waste of money!especially considering that my previous bike bag lasted more than 25 yrs! again it's only been one year.. maybe 150 days of riding!original review:i like the size, ease of installation and placement. time will tell how sturdy it is. my biggest qualm with the bag is that the yellow color is not what is represented. my monitor is excellently color calibrated and the yellow on the bag is more of a dull w/ slight green undertones as opposed to the vibrant golden/sun yellow in the picture."
